Dataset	MAG	Superkindom	Phylumn	Class	Order	Family	Genu	Species	Completeness	Contamination	Size (bp)	Total_cds	Category_L	Percentage
DSGC	SAMN03859986_bin.150	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__GCA-2684655	s__GCA-2684655	95.45	0	4380197	3760	196	0.0521
DSGC	SAMN03859986_bin.155	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__J057	f__JADKCL01	g__	s__	95.33	0.692	5946222	5239	193	0.0368
DSGC	SAMN03859986_bin.157	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__UBA6168	s__UBA6168	93.43	2.02	6530014	5066	212	0.0418
DSGC	SAMN03859986_bin.161	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__CAJQQY01	s__	92.36	2.289	4898619	4044	183	0.0453
DSGC	SAMN03859986_bin.163	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__UWMA-0217	f__UWMA-0217	g__HyVt-560	s__HyVt-560	91.71	2.149	2759874	2898	166	0.0573
DSGC	SAMN03859986_bin.164	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__DROE01	s__DROE01	97.99	0.409	2615298	2592	124	0.0478
DSGC	SAMN03859986_bin.172	d__Bacteria	p__Desulfobacterota_F	c__GWC2-55-46	o__GWC2-55-46	f__DRME01	g__DRME01	s__DRME01	94.83	0.645	2540452	2204	98	0.0445
DSGC	SAMN03859986_bin.174	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__UBA6168	s__	92.79	3.729	4693322	3871	164	0.0424
DSGC	SAMN03859986_bin.175	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfatatoraceae	g__Thermodesulfatator_A	s__Thermodesulfatator_A	96.98	1.44	1885761	1925	96	0.0499
DSGC	SAMN03859986_bin.179	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Cocleimonas	s__Cocleimonas	90.39	2.902	3117426	2766	164	0.0593
DSGC	SAMN03859986_bin.17	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Geminicoccales	f__Geminicoccaceae	g__	s__	91.04	2.337	3151689	3092	115	0.0372
DSGC	SAMN03859986_bin.181	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__HyVt-477	s__HyVt-477	90.8	2.687	3067478	2781	158	0.0568
DSGC	SAMN03859986_bin.184	d__Bacteria	p__Desulfobacterota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__Thermosulfurimonas_A	s__Thermosulfurimonas_A	98.21	1.44	2019768	2077	105	0.0506
DSGC	SAMN03859986_bin.193	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__WFUO01	f__WFUO01	g__	s__	97.22	1.848	2858348	2579	106	0.0411
DSGC	SAMN03859986_bin.195	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfurivibrionaceae	g__JAADIV01	s__JAADIV01	98.8	1.785	2959284	2703	113	0.0418
DSGC	SAMN03859986_bin.19	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__UBA6429	f__UBA6429	g__HyVt-448	s__HyVt-448	96.3	2.64	2967995	2898	131	0.0452
DSGC	SAMN03859986_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__DRMK01	f__DRMK01	g__DRMK01	s__	94.98	2.053	2701731	2603	132	0.0507
DSGC	SAMN03859986_bin.202	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__SZUA-152	f__SZUA-152	g__SZUA-152	s__SZUA-152	97.53	3.227	3583394	3224	160	0.0496
DSGC	SAMN03859986_bin.2	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__SZUA-229	f__SZUA-229	g__	s__	92.68	0.762	4120518	3617	155	0.0429
DSGC	SAMN03859986_bin.30	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__DRLZ01	g__DRLZ01	s__DRLZ01	95.23	1.321	3185228	2872	163	0.0568
DSGC	SAMN03859986_bin.34	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__	s__	90.72	1.843	3243723	3089	134	0.0434
DSGC	SAMN03859986_bin.3	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__UBA5794	f__UBA5794	g__DRQR01	s__DRQR01	99.14	2.991	2567728	2632	107	0.0407
DSGC	SAMN03859986_bin.41	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__DRMV01	g__DRMV01	s__DRMV01	93.63	4.545	2598152	2395	150	0.0626
DSGC	SAMN03859986_bin.49	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__SZUA-229	f__SZUA-229	g__	s__	92.88	1.829	2514158	2434	119	0.0489
DSGC	SAMN03859986_bin.4	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Emcibacteraceae	g__Paremcibacter	s__Paremcibacter	94.8	3.228	3453867	3551	134	0.0377
DSGC	SAMN03859986_bin.54	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__JAGLTS01	g__JAGLTS01	s__	90.9	2.5	3243618	2920	120	0.0411
DSGC	SAMN03859986_bin.57	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__SZUA-76	f__SZUA-76	g__SZUA-76	s__SZUA-76	94.87	0.95	2432683	2299	118	0.0513
DSGC	SAMN03859986_bin.61	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__DRLM01	f__DRLM01	g__DRLM01	s__DRLM01	94.39	0.603	2636491	2406	122	0.0507
DSGC	SAMN03859986_bin.75	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylothermaceae	g__Methylohalobius	s__Methylohalobius	97.01	1.33	2981029	2803	121	0.0432
DSGC	SAMN03859986_bin.77	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Aggregatilineales	f__UBA3940	g__DRKO01	s__DRKO01	91.81	1.818	3588992	3307	149	0.0451
DSGC	SAMN03859986_bin.79	d__Bacteria	p__Calditrichota	c__Calditrichia	o__Calditrichales	f__Calditrichaceae	g__DRQG01	s__DRQG01	98.83	2.197	4821645	3908	163	0.0417
DSGC	SAMN03859986_bin.87	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__	93.65	1.539	2926815	2793	101	0.0362
DSGC	SAMN03859986_bin.89	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__DRLX01	s__DRLX01	96.34	1.488	4198060	3661	179	0.0489
DSGC	SAMN03859986_bin.91	d__Bacteria	p__Aquificota	c__Aquificae	o__Aquificales	f__Aquificaceae	g__Hydrogenivirga	s__Hydrogenivirga	99.18	0	1727794	1859	113	0.0608
DSGC	SAMN03943732_bin.12	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__MedAcidi-G1	g__UBA9410	s__UBA9410	97.18	2.136	2134396	2167	94	0.0434
DSGC	SAMN04508166_bin.103	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA12170	g__UBA12170	s__UBA12170	94.62	0.806	2825555	2469	120	0.0486
DSGC	SAMN04508166_bin.104	d__Bacteria	p__Desulfobacterota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__Desulfocapsa	s__	94.04	1.19	3584439	3258	137	0.0421
DSGC	SAMN04508166_bin.105	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__UBA233	s__	100	2.803	1301780	1436	73	0.0508
DSGC	SAMN04508166_bin.109	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__S145-25	s__	98.78	1.829	2664410	2675	130	0.0486
DSGC	SAMN04508166_bin.112	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__E44-bin15	f__E44-bin15	g__Kmv38	s__	93.72	1.98	1896573	1958	103	0.0526
DSGC	SAMN04508166_bin.118	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__SpSt-600	f__	g__	s__	90.82	0.917	2571732	2242	106	0.0473
DSGC	SAMN04508166_bin.126	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B24	f__B24	g__B24	s__B24	97.66	0.934	1729779	1873	101	0.0539
DSGC	SAMN04508166_bin.12	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__GIF9	f__UBA5620	g__DTZC01	s__	91.08	2.475	1705448	2003	117	0.0584
DSGC	SAMN04508166_bin.23	d__Archaea	p__Thermoplasmatota	c__E2	o__UBA202	f__DSCA01	g__	s__	91.16	2.4	1285407	1464	78	0.0533
DSGC	SAMN04508166_bin.24	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__	98.36	0.409	2040612	2065	109	0.0528
DSGC	SAMN04508166_bin.29	d__Bacteria	p__Marinisomatota	c__UBA8477	o__UBA8477	f__UBA8477	g__JABMPR01	s__	95.6	0	2540960	2283	108	0.0473
DSGC	SAMN04508166_bin.35	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__TCS64	f__B23	g__B23	s__B23	92.99	2.18	1383870	1727	77	0.0446
DSGC	SAMN04508166_bin.39	d__Bacteria	p__WOR-3	c__WOR-3	o__SM23-42	f__B36-G15	g__B36-G15	s__B36-G15	93.4	0	2018333	1988	96	0.0483
DSGC	SAMN04508166_bin.42	d__Bacteria	p__Desulfobacterota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__NBML01	s__	91.1	2.316	4173710	4357	192	0.0441
DSGC	SAMN04508166_bin.43	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__	f__	g__	s__	90.45	0.909	2511976	2391	111	0.0464
DSGC	SAMN04508166_bin.45	d__Archaea	p__Thermoproteota	c__Nitrososphaeria_A	o__Caldarchaeales	f__Wolframiiraptoraceae	g__Wolframiiraptor	s__	97.81	1.456	1171470	1385	90	0.065
DSGC	SAMN04508166_bin.48	d__Bacteria	p__Bacillota	c__Bacilli	o__Izemoplasmatales	f__Izemoplasmataceae	g__JAFGXW01	s__	98.66	1.333	1743864	1733	117	0.0675
DSGC	SAMN04508166_bin.60	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__BW-2	f__	g__	s__	97.12	1.232	2797068	2817	133	0.0472
DSGC	SAMN04508166_bin.62	d__Bacteria	p__JdFR-76	c__JdFR-76	o__	f__	g__	s__	97.8	1.098	2807733	2663	121	0.0454
DSGC	SAMN04508166_bin.73	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__SZUA-229	f__SZUA-229	g__GCA-2746365	s__	98.32	1.085	3253271	3051	150	0.0492
DSGC	SAMN04508166_bin.94	d__Bacteria	p__Desulfobacterota_F	c__Desulfuromonadia	o__Desulfuromonadales	f__Syntrophotaleaceae	g__Syntrophotalea_A	s__	99.35	3.978	3281647	2979	205	0.0688
DSGC	SAMN04508166_bin.97	d__Bacteria	p__WOR-3	c__WOR-3	o__	f__	g__	s__	91.01	0	1943711	1980	111	0.0561
DSGC	SAMN04566230_bin.101	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Alcanivoracaceae	g__Alcanivorax	s__Alcanivorax	99.88	1.003	3461595	3315	159	0.048
DSGC	SAMN04566230_bin.103	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales_A	f__UBA2165	g__TMED23	s__TMED23	92.33	0.497	2887766	2848	102	0.0358
DSGC	SAMN04566230_bin.13	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Cycloclasticaceae	g__Cycloclasticus	s__Cycloclasticus	92.05	1.896	1870737	1917	97	0.0506
DSGC	SAMN04566230_bin.17	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__HTCC2089	g__UBA9659	s__UBA9659	92.46	2.716	4873898	4732	169	0.0357
DSGC	SAMN04566230_bin.1	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Arenicellales	f__UBA868	g__REDSEA-S09-B13	s__REDSEA-S09-B13	95.42	2.439	3419272	3323	120	0.0361
DSGC	SAMN04566230_bin.20	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Qipengyuania	s__Qipengyuania	99.27	0.608	2864097	2820	119	0.0422
DSGC	SAMN04566230_bin.21	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__UBA4427	s__UBA4427	93.65	0.967	4473834	4214	169	0.0401
DSGC	SAMN04566230_bin.22	d__Bacteria	p__Planctomycetota	c__UBA8108	o__UBA1146	f__UBA1146	g__QNYK01	s__QNYK01	95.69	2.15	3129867	2549	98	0.0384
DSGC	SAMN04566230_bin.25	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__UWMA-0346	s__UWMA-0346	97.57	1.833	6788359	5624	221	0.0393
DSGC	SAMN04566230_bin.26	d__Bacteria	p__Nitrospinota	c__Nitrospinia	o__Nitrospinales	f__Nitrospinaceae	g__LS-NOB	s__LS-NOB	92.15	3.276	2160514	2210	106	0.048
DSGC	SAMN04566230_bin.33	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__TK06	g__UBA2110	s__UBA2110	99.14	2.991	2619425	2618	109	0.0416
DSGC	SAMN04566230_bin.35	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Qipengyuania	s__Qipengyuania	94.07	1.222	2748409	2840	129	0.0454
DSGC	SAMN04566230_bin.36	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__GCA-2720975	s__GCA-2720975	97.49	2.15	3989741	3160	118	0.0373
DSGC	SAMN04566230_bin.3	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__JAZXM01	s__JAZXM01	91.61	0	3756317	3328	100	0.03
DSGC	SAMN04566230_bin.40	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudohongiellaceae	g__UBA9145	s__UBA9145	92.96	0.679	3186058	2898	106	0.0366
DSGC	SAMN04566230_bin.4	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA1151	f__UBA1328	g__UBA1328	s__UBA1328	98.67	0.99	2524867	2500	111	0.0444
DSGC	SAMN04566230_bin.55	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__DUBZ01	s__DUBZ01	93.54	1.29	4892685	4374	151	0.0345
DSGC	SAMN04566230_bin.57	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Porticoccaceae	g__HTCC2207	s__HTCC2207	93.76	2.222	2299338	2219	91	0.041
DSGC	SAMN04566230_bin.65	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Henriciella	s__Henriciella	97.03	1.025	3158187	3321	123	0.037
DSGC	SAMN04566230_bin.67	d__Bacteria	p__Latescibacterota	c__UBA2968	o__UBA8231	f__UBA8231	g__GCA-2724215	s__GCA-2724215	93.82	3.296	6772086	6276	232	0.037
DSGC	SAMN04566230_bin.68	d__Bacteria	p__Bacteroidota	c__Rhodothermia	o__Rhodothermales	f__Rubricoccaceae	g__Rubricoccus	s__Rubricoccus	93.06	2.8	3699161	3639	183	0.0503
DSGC	SAMN04566230_bin.69	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__SBBL01	f__JAADHI01	g__DUAG01	s__DUAG01	96.76	0.909	2208103	2193	163	0.0743
DSGC	SAMN04566230_bin.6	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA1149	f__UBA1149	g__UBA1149	s__UBA1149	93.27	1.848	2807113	2522	87	0.0345
DSGC	SAMN04566230_bin.71	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__GCA-2686945	s__GCA-2686945	94.62	2.688	3723202	2997	115	0.0384
DSGC	SAMN04566230_bin.76	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__OPU3-GD-OMZ	s__OPU3-GD-OMZ	92.52	0.919	1511507	1524	88	0.0577
DSGC	SAMN04566230_bin.79	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__DEV007	g__EC70	s__EC70	98.63	1.36	3751267	2978	105	0.0353
DSGC	SAMN04566230_bin.81	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__MedAcidi-G1	g__MedAcidi-G2B	s__MedAcidi-G2B	97.43	1.282	1995153	2000	95	0.0475
DSGC	SAMN04566230_bin.82	d__Bacteria	p__SAR324	c__SAR324	o__SAR324	f__NAC60-12	g__UBA8110	s__UBA8110	93.36	0.887	3487360	3542	183	0.0517
DSGC	SAMN04566230_bin.83	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__UBA4486	f__UBA4486	g__UBA7359	s__UBA7359	95.33	1.525	2253922	2334	128	0.0548
DSGC	SAMN04566230_bin.87	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methyloprofundus	s__Methyloprofundus	97.75	2.586	2619279	2555	168	0.0658
DSGC	SAMN04566230_bin.89	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__DUCM01	s__DUCM01	97.84	1.612	3667346	2921	120	0.0411
DSGC	SAMN04566230_bin.92	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__UBA9611	s__UBA9611	94.71	0	2907198	2886	107	0.0371
DSGC	SAMN05004607_bin.10	d__Bacteria	p__RBG-13-66-14	c__B26-G2	o__B26-G2	f__B26-G2	g__B26-G2	s__B26-G2	97.8	1.098	2501533	2672	175	0.0655
DSGC	SAMN05004607_bin.13	d__Bacteria	p__WOR-3	c__WOR-3	o__SM23-42	f__SM23-42	g__DRIG01	s__DRIG01	96.62	0	2376129	2195	119	0.0542
DSGC	SAMN05004607_bin.15	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__Syntropharchaeales	f__Syntropharchaeaceae	g__Syntropharchaeum_A	s__Syntropharchaeum_A	92.97	1.71	1526833	1817	99	0.0545
DSGC	SAMN05004607_bin.17	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__B4-G1	f__DUEL01	g__SZUA-1492	s__	91.36	1.545	3840956	3585	272	0.0759
DSGC	SAMN05004607_bin.25	d__Archaea	p__Halobacteriota	c__Syntropharchaeia	o__Syntropharchaeales	f__Syntropharchaeaceae	g__Syntropharchaeum	s__Syntropharchaeum	96.73	2.941	1619977	1804	122	0.0676
DSGC	SAMN05224465_bin.10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas	92.41	4.88	3864536	3656	214	0.0585
DSGC	SAMN05421561_bin.1	d__Bacteria	p__Bacteroidota	c__Rhodothermia	o__Balneolales	f__Balneolaceae	g__Balneola	s__Balneola	92.71	1.889	2998371	3117	159	0.051
DSGC	SAMN05421563_bin.20	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__Marinisomatales	f__Marinisomataceae	g__Marinisoma	s__Marinisoma	93.4	0	934833	948	49	0.0517
DSGC	SAMN05421660_bin.15	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas	96.17	3.111	4209045	4085	252	0.0617
DSGC	SAMN05421697_bin.7	d__Bacteria	p__Chlamydiota	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__JABDGQ01	s__	93.91	3.378	1797499	1661	109	0.0656
DSGC	SAMN05421699_bin.24	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micavibrionales	f__GCA-2720935	g__	s__	97.8	0	1970409	1901	96	0.0505
DSGC	SAMN05421699_bin.27	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Kangiellaceae	g__Kangiella	s__	97.97	4.36	2850961	2722	157	0.0577
DSGC	SAMN05421913_bin.5	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Marinovum	s__Marinovum	99.26	1.154	4634905	4480	157	0.035
DSGC	SAMN05422106_bin.4	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nitrosococcales	f__Methylophagaceae	g__Methylophaga	s__Methylophaga	93.75	3.443	2863569	2894	139	0.048
DSGC	SAMN05422111_bin.2	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__UBA9611	s__UBA9611	95.7	0	3593626	3617	157	0.0434
DSGC	SAMN05422120_bin.10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Alteromonas	s__	98.58	2.714	5572738	5067	328	0.0647
DSGC	SAMN05422120_bin.11	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aquaticitalea	s__Aquaticitalea	99.66	0	3021569	2820	121	0.0429
DSGC	SAMN05422120_bin.5	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__UBA845	s__UBA845	94.34	2.678	3605502	3757	139	0.037
DSGC	SAMN05422120_bin.6	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Alteromonadaceae	g__Alteromonas	s__Alteromonas	93.91	2.118	4577591	4080	197	0.0483
DSGC	SAMN05422121_bin.13	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Alteriqipengyuania	s__Alteriqipengyuania	99.53	2.767	3001064	2961	125	0.0422
DSGC	SAMN05422121_bin.2	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__GCA-2712005	s__	93.89	1.785	3712194	3602	153	0.0425
DSGC	SAMN05422122_bin.10	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Spongiibacteraceae	g__Spongiibacter	s__Spongiibacter	98.7	0.711	3271161	3078	141	0.0458
DSGC	SAMN05422122_bin.13	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Croceibacter	s__Croceibacter	99.61	0.2	2891042	2671	131	0.049
DSGC	SAMN05422122_bin.17	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Schleiferiaceae	g__Croceimicrobium	s__	94.4	2.378	3335974	3379	154	0.0456
DSGC	SAMN05422123_bin.1	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium	94.94	2.212	3081745	3168	142	0.0448
DSGC	SAMN05422133_bin.10	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Oricola	s__Oricola	99.57	0.904	5048925	4888	167	0.0342
DSGC	SAMN05422133_bin.9	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Salipiger	s__Salipiger	98.82	3.772	5100370	5057	203	0.0401
DSGC	SAMN05422136_bin.6	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides	97.15	1.369	4131568	4232	239	0.0565
DSGC	SAMN05422140_bin.10	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Mameliella	s__Mameliella	99.39	0.727	5686856	5616	260	0.0463
DSGC	SAMN05422140_bin.14	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Flagellatimonas	s__	95.62	1.409	3223456	3191	157	0.0492
DSGC	SAMN05422140_bin.16	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium	94.94	3.43	5542639	5781	250	0.0432
DSGC	SAMN05422140_bin.1	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__Rhodococcus	97.53	0.263	4432934	4166	194	0.0466
DSGC	SAMN05422148_bin.5	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Ketobacteraceae	g__Ketobacter	s__Ketobacter	97.77	0.925	5307450	4683	210	0.0448
DSGC	SAMN05422148_bin.9	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micavibrionales	f__Micavibrionaceae	g__UM-FILTER-47-13	s__UM-FILTER-47-13	92.39	1.014	2584220	2620	98	0.0374
DSGC	SAMN05422149_bin.11	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__CAJJDF01	g__CAJJDF01	s__	98.15	1.72	3318432	2918	130	0.0446
DSGC	SAMN05422149_bin.15	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__UBA57	g__UBA57	s__UBA57	98.05	0.97	867846	993	52	0.0524
DSGC	SAMN05422149_bin.20	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__DSM-6294	g__Oleibacter	s__	99.04	1.731	3704799	3343	153	0.0458
DSGC	SAMN05422149_bin.27	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Arenicellales	f__UBA868	g__REDSEA-S09-B13	s__REDSEA-S09-B13	95.37	1.93	3378044	3458	128	0.037
DSGC	SAMN05422149_bin.35	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Micavibrionales	f__UBA2020	g__	s__	97.8	2.197	2208039	2257	110	0.0487
DSGC	SAMN05422149_bin.8	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__UBA3495	f__UBA3495	g__UBA11650	s__UBA11650	94.71	1.188	4532635	4899	254	0.0518
DSGC	SAMN05422166_bin.17	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__MedAcidi-G1	g__UBA9410	s__UBA9410	98.29	2.136	2437707	2402	95	0.0396
DSGC	SAMN05422175_bin.3	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Polycyclovorans	s__Polycyclovorans	98.73	0.543	2888982	2683	143	0.0533
DSGC	SAMN05422188_bin.7	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Psychrobacter	s__Psychrobacter	100	0.686	3287409	2906	297	0.1022
